date,close,high,low,open,ma20,ma50,rsi,recent_low,recent_high,pair
2026-08-13,4404.9,4509.1,4400.0,4408.9,4158.305,4159.964,79.8337166106491,4010.3,4408.9,XAU/USD
2026-08-14,4437.3,4454.6,4365.5,4363.6,4177.469999999999,4159.15,76.93792693792693,4010.3,4437.3,XAU/USD
2026-08-17,4456.0,4473.2,4422.3,4380.4,4196.910000000001,4157.616,82.09206300657588,4033.7,4456.0,XAU/USD
2026-08-18,4408.6,4493.1,4406.8,4417.8,4211.875,4158.282,79.99358254452113,4033.7,4417.8,XAU/USD
2026-08-20,4551.3,4583.8,4534.8,4489.4,4252.1050000000005,4166.326,84.17256396298316,4033.7,4551.3,XAU/USD
2026-08-21,4680.6,4690.3,4565.5,4516.3,4281.005,4177.074,88.11122893837639,4033.7,4680.6,XAU/USD
2026-08-24,4691.0,4716.7,4651.8,4624.1,4309.005,4187.958,87.34637572109358,4033.7,4691.0,XAU/USD
2026-08-25,4689.6,4755.0,4670.7,4640.8,4339.16,4196.446,84.37112763320945,4033.7,4689.6,XAU/USD
2026-08-26,4695.3,4730.9,4681.8,4638.1,4369.615,4202.762,84.71435135549098,4033.7,4695.3,XAU/USD
2026-08-27,4609.7,4609.7,4609.7,4598.2,4390.24,4206.396,74.52589350838805,4033.7,4640.8,XAU/USD
2026-08-28,4529.9,4688.0,4495.5,4609.7,4414.280000000001,4209.816,63.8445066710591,4033.7,4640.8,XAU/USD
2026-08-31,4490.0,4521.5,4445.6,4478.1,4434.505,4214.098,58.23583743842367,4095.4,4640.8,XAU/USD
2026-09-02,4366.1,4382.0,4350.1,4431.1,4445.094999999999,4216.604,47.04338214976518,4242.0,4640.8,XAU/USD
2026-09-03,4443.0,4454.7,4426.7,4348.0,4454.05,4222.504,55.015159171298606,4242.0,4640.8,XAU/USD
2026-09-04,4429.8,4429.8,4429.8,4491.7,4467.155,4238.984,50.70754716981132,4348.0,4640.8,XAU/USD
2026-09-07,4476.6,4481.3,4436.5,4429.8,4472.895,4246.942,56.55990510083039,4348.0,4640.8,XAU/USD
2026-09-08,4482.6,4483.0,4426.2,4429.8,4473.195000000001,4247.062,56.866902237927,4348.0,4640.8,XAU/USD
2026-09-09,4437.7,4450.4,4436.7,4393.9,4471.495000000001,4253.596,46.56478405315616,4348.0,4640.8,XAU/USD
2026-09-11,4366.2,4389.5,4365.8,4364.5,4468.32,4265.952,30.14015093177264,4348.0,4640.8,XAU/USD
2026-09-16,4377.7,4381.9,4315.2,4332.8,4506.205,4313.026,30.87173792337581,4332.8,4697.8,XAU/USD
2026-09-17,4370.5,4372.0,4294.5,4387.5,4497.955,4318.984,30.074677528852632,4332.8,4697.8,XAU/USD
2026-09-18,4424.9,4439.8,4372.2,4399.7,4492.09,4325.25,41.57032755298648,4332.8,4697.8,XAU/USD
2026-09-21,4405.4,4422.1,4377.5,4424.9,4478.33,4331.084,43.59319750799792,4332.8,4697.8,XAU/USD
2026-09-22,4355.2,4414.1,4351.8,4383.9,4460.124999999999,4337.644,46.31484794275492,4332.8,4694.5,XAU/USD
2026-09-23,4370.3,4407.5,4363.3,4376.4,4444.974999999999,4344.08,45.786570287236025,4332.8,4664.0,XAU/USD
2026-09-25,4339.2,4351.6,4290.3,4298.0,4408.375,4354.908,34.75366178428749,4298.0,4539.9,XAU/USD
